condition_name,prefix_k,layer,gen_token_pos,mean_projection,std_projection,n_records,n_prompts
harmful_k03,3,24,33,-3.3322860054347827,2.109012317596985,23,23
harmful_k03,3,24,34,-3.815302309782609,2.006173992944837,23,23
harmful_k03,3,24,35,-3.9707455842391304,1.8991258754672595,23,23
harmful_k03,3,24,36,-3.8884171195652173,1.5793045324044426,23,23
harmful_k03,3,24,37,-3.265073029891304,1.7931821929419558,23,23
harmful_k03,3,24,38,-3.317934782608696,2.2016567515212873,23,23
harmful_k03,3,24,39,-3.7958559782608696,1.8309005256661297,23,23
harmful_k03,3,24,40,-4.381793478260869,1.6284166038848311,23,23
harmful_k03,3,24,41,-4.503396739130435,1.4188040992149376,23,23
harmful_k03,3,24,42,-3.9707880434782608,2.0316023069026903,23,23
harmful_k03,3,24,43,-4.020380434782608,2.238216782164006,23,23
harmful_k03,3,24,44,-4.046195652173913,2.3236172625104348,23,23
harmful_k03,3,24,45,-4.063603940217392,1.6313915148610072,23,23
harmful_k03,3,24,46,-3.5737516983695654,2.074840980561004,23,23
harmful_k03,3,27,0,-2.05109375,2.0659398133828453,25,25
harmful_k03,3,27,1,-4.37796875,2.2130286093527585,25,25
harmful_k03,3,27,2,-5.165,2.4080717197691777,25,25
harmful_k03,3,27,3,-4.16390625,2.3584611765938934,25,25
harmful_k03,3,27,4,-4.5378125,2.3052909366260548,25,25
harmful_k03,3,27,5,-4.786015625,2.794494870967257,25,25
harmful_k03,3,27,6,-5.3334375,2.735746233558055,25,25
harmful_k03,3,27,7,-5.775,3.0154259703319006,25,25
harmful_k03,3,27,8,-5.47298828125,3.0244845720972777,25,25
harmful_k03,3,27,9,-5.69953125,3.440783957523381,25,25
harmful_k03,3,27,10,-5.34453125,3.621969074018238,25,25
harmful_k03,3,27,11,-5.09125,3.4246908656295005,25,25
harmful_k03,3,27,12,-4.47365234375,3.769023708191006,25,25
harmful_k03,3,27,13,-3.515546875,3.2139268054298946,25,25
harmful_k03,3,27,14,-4.0135498046875,3.2809760293254406,24,24
harmful_k03,3,27,15,-3.7877604166666665,2.8223245775931285,24,24
harmful_k03,3,27,16,-4.760009765625,2.9753075879344655,24,24
harmful_k03,3,27,17,-4.234456380208333,2.6495679069135396,24,24
