condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k03,16,0,25,25,0.805654296875,0.6566714359568533,-0.50390625,2.015625,generated_token
harmful_k03,16,1,25,25,1.339228515625,0.9652575047664035,-0.43359375,3.234375,generated_token
harmful_k03,16,2,25,25,0.15548828125,0.730159048973992,-1.3125,1.234375,generated_token
harmful_k03,16,3,25,25,0.1906396484375,0.9508208277313461,-1.4453125,1.8828125,generated_token
harmful_k03,16,4,25,25,0.562158203125,0.8714024120928249,-1.0703125,1.8515625,generated_token
harmful_k03,16,5,25,25,0.7901953125,1.0379102118092458,-0.98046875,2.921875,generated_token
harmful_k03,16,6,25,25,0.5744921875,1.0557236663619876,-1.15625,2.53125,generated_token
harmful_k03,16,7,25,25,0.15412109375,1.0647601312395818,-1.203125,2.890625,generated_token
harmful_k03,16,8,25,25,-0.075462646484375,1.1426970992297503,-2.328125,2.796875,generated_token
harmful_k03,16,9,25,25,-0.06810546875,1.4280697514860774,-2.5625,2.65625,generated_token
harmful_k03,16,10,25,25,0.15926240921020507,1.2848019401907116,-1.265625,2.8125,generated_token
harmful_k03,16,11,25,25,0.25615234375,1.3989501950994665,-2.4375,2.5,generated_token
harmful_k03,16,12,25,25,0.68193359375,1.459940592306157,-2.046875,2.96875,generated_token
harmful_k03,16,13,25,25,1.100078125,1.5505770524348563,-1.9921875,3.5625,generated_token
harmful_k03,16,14,24,24,0.7023722330729166,1.4708778570789929,-1.84375,3.296875,generated_token
harmful_k03,16,15,24,24,0.9083048502604166,1.2746828774225472,-1.859375,3.265625,generated_token
harmful_k03,16,16,24,24,0.76171875,1.351022202495403,-2.53125,3.078125,generated_token
harmful_k03,16,17,24,24,0.6792195638020834,1.2932699500640694,-1.5625,2.90625,generated_token
harmful_k03,16,18,24,24,0.73187255859375,1.3642729733768504,-2.234375,2.75,generated_token
harmful_k03,16,19,24,24,0.8492431640625,0.9942248230481038,-1.265625,2.21875,generated_token
harmful_k03,16,20,24,24,0.7389322916666666,1.0766825618504259,-1.7265625,2.328125,generated_token
harmful_k03,16,21,24,24,0.6055399576822916,1.09644916092613,-1.5078125,2.515625,generated_token
harmful_k03,16,22,24,24,0.64801025390625,1.0402643044316937,-1.2734375,2.15625,generated_token
harmful_k03,16,23,24,24,0.45263671875,1.0063493919063862,-2.015625,1.65625,generated_token
harmful_k03,16,24,24,24,0.4781392415364583,1.0723063529499457,-2.359375,1.9453125,generated_token
harmful_k03,16,25,24,24,0.264404296875,1.1188338557077322,-1.734375,2.21875,generated_token
harmful_k03,16,26,24,24,0.13006591796875,1.1004912837280723,-1.8203125,1.8984375,generated_token
harmful_k03,16,27,24,24,0.021728515625,1.139051040402479,-1.75,2.625,generated_token
harmful_k03,16,28,24,24,-0.047709147135416664,1.263222835350934,-2.125,2.796875,generated_token
